"P","G","Ca","L","offshore_conflict_payoff","surf_conflict_payoff","surf_accept_payoff","fight_minus_accept","offshore_implements","surf_prefers_fight"
0.1,7,6,5,4.3,4.2,5,-0.8,TRUE,FALSE
0.1,7,6,6,4.3,4.1,4,0.0999999999999996,TRUE,TRUE
0.1,8,0,1,4.2,10.7,9,1.7,TRUE,TRUE
0.1,8,0,2,4.2,10.6,8,2.6,TRUE,TRUE
0.1,8,0,3,4.2,10.5,7,3.5,TRUE,TRUE
0.1,8,0,4,4.2,10.4,6,4.4,TRUE,TRUE
0.1,8,0,5,4.2,10.3,5,5.3,TRUE,TRUE
0.1,8,0,6,4.2,10.2,4,6.2,TRUE,TRUE
0.1,8,1,1,4.2,9.7,9,0.699999999999999,TRUE,TRUE
0.1,8,1,2,4.2,9.6,8,1.6,TRUE,TRUE
0.1,8,1,3,4.2,9.5,7,2.5,TRUE,TRUE
0.1,8,1,4,4.2,9.4,6,3.4,TRUE,TRUE
0.1,8,1,5,4.2,9.3,5,4.3,TRUE,TRUE
0.1,8,1,6,4.2,9.2,4,5.2,TRUE,TRUE
0.1,8,2,1,4.2,8.7,9,-0.300000000000001,TRUE,FALSE
0.1,8,2,2,4.2,8.6,8,0.6,TRUE,TRUE
0.1,8,2,3,4.2,8.5,7,1.5,TRUE,TRUE
0.1,8,2,4,4.2,8.4,6,2.4,TRUE,TRUE
0.1,8,2,5,4.2,8.3,5,3.3,TRUE,TRUE
0.1,8,2,6,4.2,8.2,4,4.2,TRUE,TRUE
0.1,8,3,1,4.2,7.7,9,-1.3,TRUE,FALSE
0.1,8,3,2,4.2,7.6,8,-0.4,TRUE,FALSE
0.1,8,3,3,4.2,7.5,7,0.5,TRUE,TRUE
0.1,8,3,4,4.2,7.4,6,1.4,TRUE,TRUE
0.1,8,3,5,4.2,7.3,5,2.3,TRUE,TRUE
0.1,8,3,6,4.2,7.2,4,3.2,TRUE,TRUE
