G,P,equilibrium
0.06666666666666667,0.18181818181818182,Implement / Fight
0.06666666666666667,0.19191919191919193,Implement / Fight
0.06666666666666667,0.20202020202020204,Implement / Fight
0.06666666666666667,0.21212121212121213,Implement / Fight
0.06666666666666667,0.22222222222222224,Implement / Fight
0.06666666666666667,0.23232323232323235,Implement / Fight
0.06666666666666667,0.24242424242424243,Implement / Fight
0.06666666666666667,0.25252525252525254,Implement / Fight
0.06666666666666667,0.26262626262626265,Implement / Fight
0.06666666666666667,0.27272727272727276,Implement / Fight
0.06666666666666667,0.2828282828282829,Implement / Fight
0.06666666666666667,0.29292929292929293,Implement / Fight
0.06666666666666667,0.30303030303030304,Implement / Fight
0.06666666666666667,0.31313131313131315,Implement / Fight
0.06666666666666667,0.32323232323232326,Implement / Accept
0.06666666666666667,0.33333333333333337,Implement / Accept
0.06666666666666667,0.3434343434343435,Implement / Accept
0.06666666666666667,0.3535353535353536,Implement / Accept
0.06666666666666667,0.36363636363636365,Implement / Accept
0.06666666666666667,0.37373737373737376,Implement / Accept
0.06666666666666667,0.38383838383838387,Implement / Accept
0.06666666666666667,0.393939393939394,Implement / Accept
0.06666666666666667,0.4040404040404041,Implement / Accept
