P,G,Ca,L,R,LR,Cs,I,alpha,offshore_conflict_payoff,surf_conflict_payoff,surf_accept_payoff,fight_minus_accept,offshore_implements,surf_prefers_fight
0.1,1.0,5.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,16.22,13.2,3.0199999999999996,True,True
0.1,1.0,5.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,15.120000000000001,2.1999999999999993,12.920000000000002,True,True
0.1,1.0,6.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,15.66,17.6,-1.9400000000000013,True,False
0.1,1.0,6.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,15.22,13.2,2.0200000000000014,True,True
0.1,1.0,6.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,14.120000000000001,2.1999999999999993,11.920000000000002,True,True
0.1,1.0,7.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,14.66,17.6,-2.9400000000000013,True,False
0.1,1.0,7.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,14.22,13.2,1.0200000000000014,True,True
0.1,1.0,7.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,13.12,2.1999999999999993,10.92,True,True
0.1,1.0,8.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,13.66,17.6,-3.9400000000000013,True,False
0.1,1.0,8.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,13.219999999999999,13.2,0.019999999999999574,True,True
0.1,1.0,8.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,12.12,2.1999999999999993,9.92,True,True
0.1,1.0,9.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,12.660000000000002,17.6,-4.9399999999999995,True,False
0.1,1.0,9.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,12.22,13.2,-0.9799999999999986,True,False
0.1,1.0,9.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,11.120000000000001,2.1999999999999993,8.920000000000002,True,True
0.1,1.0,10.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,11.66,17.6,-5.940000000000001,True,False
0.1,1.0,10.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,11.22,13.2,-1.9799999999999986,True,False
0.1,1.0,10.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,10.120000000000001,2.1999999999999993,7.920000000000002,True,True
0.1,1.0,11.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,10.66,17.6,-6.940000000000001,True,False
0.1,1.0,11.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,10.22,13.2,-2.9799999999999986,True,False
0.1,1.0,11.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,9.120000000000001,2.1999999999999993,6.920000000000002,True,True
0.1,1.0,12.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,9.66,17.6,-7.940000000000001,True,False
0.1,1.0,12.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,9.22,13.2,-3.9799999999999986,True,False
0.1,1.0,12.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,8.12,2.1999999999999993,5.92,True,True
0.1,1.0,13.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,8.66,17.6,-8.940000000000001,True,False
0.1,1.0,13.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,8.219999999999999,13.2,-4.98,True,False
0.1,1.0,13.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,7.119999999999999,2.1999999999999993,4.92,True,True
0.1,1.0,14.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,7.66,17.6,-9.940000000000001,True,False
0.1,1.0,14.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,7.22,13.2,-5.9799999999999995,True,False
0.1,1.0,14.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,6.12,2.1999999999999993,3.920000000000001,True,True
0.1,1.0,15.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,6.66,17.6,-10.940000000000001,True,False
0.1,1.0,15.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,6.22,13.2,-6.9799999999999995,True,False
0.1,1.0,15.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,5.119999999999999,2.1999999999999993,2.92,True,True
0.1,1.0,16.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,5.66,17.6,-11.940000000000001,True,False
0.1,1.0,16.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,5.220000000000001,13.2,-7.979999999999999,True,False
0.1,1.0,16.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,4.12,2.1999999999999993,1.9200000000000008,True,True
0.1,1.0,17.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,4.66,17.6,-12.940000000000001,True,False
0.1,1.0,17.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,4.22,13.2,-8.98,True,False
0.1,1.0,17.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,3.12,2.1999999999999993,0.9200000000000008,True,True
0.1,1.0,18.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,3.66,17.6,-13.940000000000001,True,False
0.1,1.0,18.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,3.2199999999999998,13.2,-9.98,True,False
0.1,1.0,18.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,2.12,2.1999999999999993,-0.07999999999999918,True,False
0.1,1.0,19.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,2.66,17.6,-14.940000000000001,True,False
0.1,1.0,19.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,2.22,13.2,-10.979999999999999,True,False
0.1,1.0,19.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,1.12,2.1999999999999993,-1.0799999999999992,True,False
